frame,time_seconds,detections,track_ids,mean_confidence
620,20.667,1,150,0.84431
621,20.7,1,150,0.88138
622,20.733,1,150,0.87881
623,20.767,1,150,0.87713
624,20.8,1,150,0.86174
625,20.833,1,150,0.85117
626,20.867,1,150,0.80971
627,20.9,1,150,0.82789
628,20.933,1,150,0.73044
629,20.967,1,150,0.80978
630,21.0,1,150,0.79966
631,21.033,1,150,0.72749
632,21.067,1,150,0.80805
633,21.1,1,150,0.8149
634,21.133,1,150,0.78475
635,21.167,1,150,0.80932
636,21.2,1,150,0.77406
637,21.233,1,150,0.75623
638,21.267,1,150,0.68991
639,21.3,1,150,0.68334
640,21.333,1,150,0.76768
641,21.367,1,150,0.7999
642,21.4,1,150,0.76441
643,21.433,1,150,0.66979
644,21.467,1,150,0.75973
645,21.5,1,150,0.76607
646,21.533,1,150,0.75174
647,21.567,1,150,0.78533
648,21.6,1,150,0.76922
649,21.633,1,150,0.73295
650,21.667,1,150,0.7371
651,21.7,1,150,0.76942
652,21.733,1,150,0.72138
653,21.767,1,150,0.73535
654,21.8,1,150,0.75633
655,21.833,1,150,0.78083
656,21.867,1,150,0.77896
657,21.9,1,150,0.76912
658,21.933,1,150,0.73363
659,21.967,1,150,0.75156
660,22.0,1,150,0.76333
661,22.033,1,150,0.77294
662,22.067,1,150,0.763
663,22.1,1,150,0.79057
664,22.133,1,150,0.75595
665,22.167,1,150,0.7372
666,22.2,1,150,0.76226
667,22.233,1,150,0.76045
668,22.267,1,150,0.76234
669,22.3,1,150,0.8101
670,22.333,1,150,0.7307
671,22.367,1,150,0.76816
672,22.4,1,150,0.82635
673,22.433,1,150,0.7924
674,22.467,1,150,0.85192
675,22.5,1,150,0.78172
676,22.533,1,150,0.86485
677,22.567,1,150,0.87787
678,22.6,1,150,0.85842
679,22.633,1,150,0.83148
680,22.667,1,150,0.84666
681,22.7,1,150,0.85844
682,22.733,1,150,0.85636
683,22.767,1,150,0.84814
684,22.8,1,150,0.7429
685,22.833,1,150,0.64537
686,22.867,1,150,0.84976
687,22.9,1,150,0.85727
688,22.933,1,150,0.82845
689,22.967,1,150,0.75749
690,23.0,1,150,0.75077
691,23.033,1,150,0.70914
692,23.067,1,150,0.68624
693,23.1,1,150,0.79491
694,23.133,1,150,0.75035
695,23.167,1,150,0.77189
696,23.2,1,150,0.75609
697,23.233,1,150,0.82037
698,23.267,1,150,0.8159
699,23.3,1,150,0.8093
700,23.333,1,150,0.77389
701,23.367,1,150,0.78336
702,23.4,1,150,0.82289
703,23.433,1,150,0.8106
704,23.467,1,150,0.79906
705,23.5,1,150,0.81262
706,23.533,1,150,0.82298
707,23.567,1,150,0.83835
708,23.6,1,150,0.84323
709,23.633,1,150,0.84841
710,23.667,1,150,0.83419
711,23.7,1,150,0.81283
712,23.733,1,150,0.81497
713,23.767,1,150,0.8132
714,23.8,1,150,0.80222
715,23.833,1,150,0.79288
716,23.867,1,150,0.82178
717,23.9,1,150,0.81724
718,23.933,1,150,0.79724
719,23.967,1,150,0.79527
720,24.0,1,150,0.78218
721,24.033,1,150,0.78106
722,24.067,1,150,0.77447
723,24.1,1,150,0.73209
724,24.133,1,150,0.76981
725,24.167,1,150,0.72579
726,24.2,1,150,0.77554
727,24.233,1,150,0.74423
728,24.267,1,150,0.72484
729,24.3,1,150,0.63148
730,24.333,1,150,0.77622
731,24.367,1,150,0.76152
732,24.4,1,150,0.73636
733,24.433,1,150,0.74285
734,24.467,1,150,0.76819
735,24.5,1,150,0.77364
736,24.533,1,150,0.7478
737,24.567,1,150,0.7551
738,24.6,1,150,0.87142
739,24.633,1,150,0.83843
740,24.667,1,150,0.84041
741,24.7,1,150,0.8259
742,24.733,1,150,0.818
743,24.767,1,150,0.83351
744,24.8,1,150,0.85137
745,24.833,1,150,0.7904
746,24.867,1,150,0.81641
747,24.9,1,150,0.82804
748,24.933,1,150,0.73491
749,24.967,1,150,0.82436
